rank,rating,name,score/round,damage/round,k/d_ratio,hs_percentage(%),win_percentage(%),top_1_agents_name,top_1_agents_hours,top_1_agents_win%,top_1_agents_acs,top_2_agents_name,top_2_agents_hours,top_2_agents_win%,top_2_agents_acs,top_3_agents_name,top_3_agents_hours,top_3_agents_win%,top_3_agents_acs,top_1_weapon,top_1_weapon_kills,top_1_hs%,top_2_weapon,top_2_weapon_kills,top_2_weapon_hs%,top_3_weapon,top_3_weapon_kills,top_3_weapon_hs%
101,768,NRG THWIFO#CONE,236.9,152.0,1.19,27.2,51.3,Chamber,19.0,47.2,250.6,Fade,13.0,43.5,238.4,Cypher,5.2,77.8,217.0,Vandal,"1,202",45,Operator,93,3,Ghost,89,46
102,768,UCR Andrew#sammy,277.0,178.5,1.26,27.2,53.8,Jett,23.0,53.5,285.9,Chamber,16.0,53.3,254.9,Raze,5.1,55.6,288.4,Vandal,"1,068",42,Phantom,214,32,Sheriff,133,50
103,767,aika x1#xoxo,244.7,158.1,1.25,26.5,51.4,Chamber,17.0,51.7,243.7,Jett,16.0,36.7,252.1,Raze,5.7,60.0,293.5,Vandal,"1,173",38,Spectre,157,22,Ghost,142,48
104,765,Yum07#007,220.2,144.1,1.12,22.0,66.7,Brimstone,10.0,66.7,211.3,Astra,10.0,66.7,214.7,Viper,10.0,73.7,231.1,Vandal,708,37,Spectre,113,22,Frenzy,84,28
105,764,SQN zero cap#JHA,219.0,145.6,1.09,31.5,54.4,Chamber,24.0,51.2,233.4,Fade,23.0,62.5,216.3,Sova,10.0,68.4,210.0,Vandal,"1,922",45,Sheriff,250,63,Ghost,226,54
106,758,Andersin#WOOF,218.8,144.6,1.05,28.4,52.7,Fade,43.0,55.8,219.3,Sova,22.0,55.0,220.2,Breach,10.0,42.1,222.9,Vandal,"1,621",41,Phantom,710,35,Ghost,312,45
107,756,Xeetii#kimi,229.4,148.6,1.11,29.1,53.6,Chamber,32.0,60.3,225.2,Fade,9.8,61.1,210.0,Jett,9.7,45.0,249.3,Vandal,"1,256",43,Phantom,388,37,Operator,210,11
108,753,Segov#4528,238.3,156.2,1.12,29.5,56.3,Sova,118.0,55.2,237.3,Phoenix,32.0,55.2,255.0,Chamber,26.0,54.2,243.5,Vandal,"4,921",33,Ghost,575,57,Sheriff,552,77
109,752,satellite#twitr,208.4,135.0,0.95,20.0,50.2,Jett,36.0,43.8,216.0,Chamber,30.0,53.6,216.0,Raze,20.0,41.2,202.5,Vandal,"1,433",33,Phantom,438,25,Operator,279,5
110,751,Pain#LFT,233.1,156.1,1.09,34.0,46.5,Jett,35.0,43.9,221.6,Raze,33.0,39.0,248.5,Chamber,14.0,68.0,220.4,Vandal,"1,935",53,Sheriff,243,63,Ghost,159,53
111,750,bearkun#her,230.5,146.8,1.21,22.6,53.0,Chamber,179.0,54.3,234.3,Brimstone,6.1,54.5,250.9,Raze,5.1,55.6,241.9,Vandal,"2,318",36,Operator,"1,700",7,Marshal,245,19
112,747,okeanos#502,236.8,150.6,1.08,36.8,51.7,Chamber,59.0,48.6,236.8,Reyna,22.0,64.3,264.4,Jett,12.0,45.5,249.6,Vandal,"2,210",54,Operator,416,8,Ghost,285,54
113,745,mikester#wtp,224.7,145.1,1.08,27.2,56.0,KAY/O,8.2,57.1,229.2,Jett,6.2,81.8,249.1,Viper,5.8,60.0,207.2,Vandal,899,37,Phantom,168,31,Sheriff,102,53
114,742,HAXXA#LFT,233.7,150.6,1.22,25.9,52.1,Chamber,58.0,53.3,238.8,Raze,2.9,40.0,231.1,Jett,1.6,0.0,161.8,Vandal,832,38,Operator,456,9,Ghost,82,43
